,emotion,model,total_difference,rank,mean_score,z_diff,strength,,,,,,,,
204,Sexual-Desire,gpt-4o-mini,6.486831528,14,0.191304348,0.319920908,,,,,,,,,
205,Relief,gpt-5-nano,6.475781378,1,1.096567506,0.316054449,,,,,,,,,
206,Triumph,gpt-5.1,6.444671217,9,0.27597254,0.30516897,,,,,,,,,
207,Pride,gpt-4,6.436540657,12,0.12402746,0.302324079,,,,,,,,,
208,Confusion,gpt-5.1-chat-latest,6.425231495,6,0.308924485,0.29836699,,,,,,,,,
209,Pride,gpt-4-turbo,6.42518958,3,0.383981693,0.298352324,,,,,,,,,
210,Relief,gpt-4.1-mini,6.424992069,7,0.508924485,0.298283215,,,,,,,,,
211,Contempt,gpt-4.1,6.392386842,5,0.161556064,0.286874611,,,,,,,,,
212,Sexual-Desire,gpt-4o,6.388205988,11,0.350572082,0.285411726,,,,,,,,,
213,Confusion,gpt-5-mini,6.387797752,15,0.179405034,0.285268884,,,,,,,,,
214,Disappointment,gpt-4o-mini,6.370216049,4,0.097482838,0.279117027,,,,,,,,,
215,Adoration,gpt-4.1-mini,6.363298685,1,3.636613272,0.276696634,,,,,,,,,
216,Adoration,gpt-4.1,6.325444998,11,1.407322654,0.263451588,,,,,,,,,
217,Aesthetic-Appreciation,chatgpt-4o-latest,6.308598235,2,5.070022883,0.257556888,,,,,,,,,
218,Nostalgia,gpt-3.5-turbo,6.308345348,15,0.16201373,0.257468402,,,,,,,,,
219,Confusion,gpt-4,6.30185945,8,0.281006865,0.255198979,,,,,,,,,
220,Nostalgia,gpt-4.1-nano,6.296372347,17,0.095194508,0.253279036,,,,,,,,,
221,Adoration,gpt-5.2-chat-latest,6.278150017,12,1.336842105,0.246903024,,,,,,,,,
222,Relief,gpt-5,6.271408708,10,0.455377574,0.244544232,,,,,,,,,
223,Adoration,gpt-5-nano,6.255080302,8,2.351029748,0.238830906,,,,,,,,,
224,Adoration,gpt-5.1-chat-latest,6.248714072,2,3.591762014,0.236603355,,,,,,,,,
225,Aesthetic-Appreciation,gpt-4o,6.226473559,4,4.525400458,0.228821375,,,,,,,,,
226,Horror,gpt-4.1-nano,6.222315436,16,0.904347826,0.227366444,,,,,,,,,
227,Pride,gpt-5.1,6.206442604,6,0.1798627,0.221812523,,,,,,,,,
228,Satisfaction,gpt-4,6.202830462,9,0.433867277,0.22054863,,,,,,,,,
229,Satisfaction,chatgpt-4o-latest,6.19437649,3,0.69610984,0.217590576,,,,,,,,,
230,Relief,gpt-3.5-turbo,6.185451961,2,0.93180778,0.214467874,,,,,,,,,
231,Adoration,gpt-5-mini,6.182292136,3,3.032951945,0.213362248,,,,,,,,,
232,Triumph,gpt-5.1-chat-latest,6.164097066,7,0.347826087,0.206995773,,,,,,,,,
233,Pride,gpt-5.2,6.156586621,13,0.118535469,0.204367861,,,,,,,,,
234,Satisfaction,gpt-4.1-mini,6.141439638,6,0.501144165,0.199067915,,,,,,,,,
235,Disappointment,gpt-4,6.088998794,5,0.095652174,0.180718807,,,,,,,,,
236,Adoration,gpt-5.1,6.084827016,5,2.989473684,0.179259098,,,,,,,,,
237,Aesthetic-Appreciation,gpt-4.1-mini,6.08127351,9,2.904347826,0.178015722,,,,,,,,,
238,Empathic-Pain,gpt-4.1,6.069374199,5,1.45583524,0.173852141,,,,,,,,,
239,Aesthetic-Appreciation,gpt-5.1-chat-latest,6.043719234,10,2.656292906,0.164875441,,,,,,,,,
240,Surprise,gpt-5.1,6.030555404,15,2.010983982,0.160269403,,,,,,,,,
241,Aesthetic-Appreciation,gpt-4,6.009818666,5,4.336384439,0.153013596,,,,,,,,,
242,Contempt,gpt-4,5.996897573,15,0.034324943,0.148492491,,,,,,,,,
243,Relief,gpt-4-turbo,5.991270166,5,0.546453089,0.146523456,,,,,,,,,
244,Disappointment,gpt-5.2,5.985364718,12.5,0.033409611,0.144457133,,,,,,,,,
245,Aesthetic-Appreciation,gpt-5.2-pro,5.955301524,13,2.233409611,0.133937989,,,,,,,,,
246,Surprise,gpt-5-nano,5.949438775,14,2.183981693,0.131886607,,,,,,,,,
247,Confusion,gpt-4-turbo,5.925666964,12,0.212356979,0.123568825,,,,,,,,,
248,Triumph,gpt-4.1,5.925089397,6,0.351029748,0.123366733,,,,,,,,,
249,Satisfaction,gpt-5,5.924589524,11,0.392677346,0.123191827,,,,,,,,,
250,Sexual-Desire,gpt-5.2-pro,5.921479689,7,0.443478261,0.122103693,,,,,,,,,
251,Confusion,gpt-4o-mini,5.91938041,14,0.193135011,0.121369153,,,,,,,,,
252,Contempt,gpt-5.1-chat-latest,5.885120227,12,0.074599542,0.109381478,,,,,,,,,
253,Sexual-Desire,gpt-4-turbo,5.879685292,13,0.248970252,0.107479788,,,,,,,,,
254,Relief,gpt-4o-mini,5.879658512,9,0.48375286,0.107470418,,,,,,,,,
255,Aesthetic-Appreciation,gpt-5-mini,5.862624392,7,3.292448513,0.101510161,,,,,,,,,
256,Confusion,gpt-4o,5.854182229,2,0.533180778,0.098556239,,,,,,,,,
257,Disappointment,gpt-5.2-chat-latest,5.833091915,11,0.038901602,0.091176716,,,,,,,,,
258,Sexual-Desire,gpt-4,5.83033863,12,0.249885584,0.090213338,,,,,,,,,
259,Aesthetic-Appreciation,gpt-5.1,5.798276396,3,5.012814645,0.078994728,,,,,,,,,
260,Fear,gpt-3.5-turbo,5.790710086,1,8.591762014,0.076347268,,,,,,,,,
261,Satisfaction,gpt-5.2,5.785960978,14,0.330434783,0.07468555,,,,,,,,,
262,Aesthetic-Appreciation,gpt-4-turbo,5.7827252,8,3.153318078,0.073553348,,,,,,,,,
263,Satisfaction,gpt-5-nano,5.753991715,15,0.308924485,0.063499471,,,,,,,,,
264,Adoration,gpt-5.2-pro,5.736069056,9,2.102517162,0.057228313,,,,,,,,,
265,Fear,gpt-4.1-nano,5.718639048,2,7.758352403,0.051129534,,,,,,,,,
266,Adoration,gpt-5.2,5.71476557,10,1.986727689,0.0497742,,,,,,,,,
267,Contempt,gpt-5.2-chat-latest,5.71313828,16,0.032951945,0.04920481,,,,,,,,,
268,Relief,gpt-5-mini,5.687350515,8,0.500686499,0.040181643,,,,,,,,,
269,Aesthetic-Appreciation,gpt-5.2-chat-latest,5.682402353,11,2.651258581,0.038450276,,,,,,,,,
270,Satisfaction,gpt-5.2-chat-latest,5.678218724,8,0.449427918,0.03698642,,,,,,,,,
271,Aesthetic-Appreciation,gpt-5,5.673083557,6,3.508924485,0.035189619,,,,,,,,,
272,Nostalgia,gpt-4o,5.671146414,1,0.664073227,0.034511811,,,,,,,,,
273,Adoration,gpt-4o,5.665664225,7,2.709382151,0.032593587,,,,,,,,,
274,Pride,gpt-5.2-chat-latest,5.6470035,8,0.16201373,0.026064179,,,,,,,,,
275,Triumph,gpt-5.2-chat-latest,5.634915318,5,0.359267735,0.021834511,,,,,,,,,
276,Satisfaction,gpt-4o,5.628850372,2,0.884210526,0.019712381,,,,,,,,,
277,Sexual-Desire,gpt-5.2,5.61059543,5,0.498398169,0.013324956,,,,,,,,,
278,Satisfaction,gpt-5-mini,5.583327398,10,0.42791762,0.003783843,,,,,,,,,
279,Fear,gpt-4.1,5.580106801,17,1.810526316,0.002656952,,,,,,,,,
280,Confusion,gpt-5.2,5.572130198,7,0.296567506,-0.00013407,,,,,,,,,
