video_id,cosine_distance,,1が大量発生・・・・
1492,0.038831219,,
1511,0.038831219,,
1527,0.038831219,,
1559,0.038831219,,
1563,0.038831219,,
1565,0.038831219,,
1578,0.038831219,,
1583,0.038831219,,
1584,0.038831219,,
1600,0.038831219,,
1604,0.038831219,,
1626,0.038831219,,
1631,0.038831219,,
1648,0.038831219,,
1690,0.038831219,,
1696,0.038831219,,
1699,0.038831219,,
1701,0.038831219,,
1723,0.038831219,,
1754,0.038831219,,
1765,0.038831219,,
1774,0.038831219,,
1796,0.038831219,,
1802,0.038831219,,
1804,0.038831219,,
1812,0.038831219,,
1813,0.038831219,,
1832,0.038831219,,
1842,0.038831219,,
1856,0.038831219,,
1865,0.038831219,,
1885,0.038831219,,
1899,0.038831219,,
1915,0.038831219,,
1924,0.038831219,,
1931,0.038831219,,
1953,0.038831219,,
1955,0.038831219,,
1963,0.038831219,,
1971,0.038831219,,
1975,0.038831219,,
1987,0.038831219,,
1990,0.038831219,,
2005,0.038831219,,
2009,0.038831219,,
2022,0.038831219,,
2050,0.038831219,,
2076,0.038831219,,
2093,0.038831219,,
2095,0.038831219,,
2099,0.038831219,,
2109,0.038831219,,
2146,0.038831219,,
2152,0.038831219,,
2171,0.038831219,,
1303,0.038646396,,
1343,0.038646396,,
600,0.038631541,,
1283,0.038631541,,
12,0.038446751,,
15,0.038446751,,
17,0.038446751,,
115,0.038446751,,
165,0.038446751,,
237,0.038446751,,
251,0.038446751,,
268,0.038446751,,
288,0.038446751,,
319,0.038446751,,
356,0.038446751,,
363,0.038446751,,
366,0.038446751,,
369,0.038446751,,
401,0.038446751,,
415,0.038446751,,
417,0.038446751,,
424,0.038446751,,
430,0.038446751,,
442,0.038446751,,
476,0.038446751,,
481,0.038446751,,
484,0.038446751,,
518,0.038446751,,
558,0.038446751,,
563,0.038446751,,
568,0.038446751,,
577,0.038446751,,
582,0.038446751,,
589,0.038446751,,
635,0.038446751,,
782,0.038446751,,
822,0.038446751,,
840,0.038446751,,
869,0.038446751,,
892,0.038446751,,
900,0.038446751,,
916,0.038446751,,
982,0.038446751,,
1007,0.038446751,,
1031,0.038446751,,
1059,0.038446751,,
1183,0.038446751,,
1187,0.038446751,,
1199,0.038446751,,
1224,0.038446751,,
1270,0.038446751,,
1275,0.038446751,,
1296,0.038446751,,
1358,0.038446751,,
1452,0.038446751,,
1460,0.038446751,,
1471,0.038446751,,
1482,0.038446751,,
1495,0.038446751,,
1513,0.038446751,,
1514,0.038446751,,
1522,0.038446751,,
1531,0.038446751,,
1547,0.038446751,,
1552,0.038446751,,
1605,0.038446751,,
1657,0.038446751,,
1664,0.038446751,,
1691,0.038446751,,
1763,0.038446751,,
1815,0.038446751,,
1818,0.038446751,,
1892,0.038446751,,
1930,0.038446751,,
1932,0.038446751,,
1957,0.038446751,,
2020,0.038446751,,
2033,0.038446751,,
2036,0.038446751,,
2069,0.038446751,,
2103,0.038446751,,
2108,0.038446751,,
2134,0.038446751,,
2141,0.038446751,,
814,0.035171998,,
1115,0.035171998,,
33,0.034986544,,
34,0.034986544,,
39,0.034986544,,
42,0.034986544,,
48,0.034986544,,
60,0.034986544,,
77,0.034986544,,
84,0.034986544,,
97,0.034986544,,
114,0.034986544,,
116,0.034986544,,
131,0.034986544,,
167,0.034986544,,
183,0.034986544,,
196,0.034986544,,
227,0.034986544,,
245,0.034986544,,
260,0.034986544,,
269,0.034986544,,
286,0.034986544,,
289,0.034986544,,
305,0.034986544,,
330,0.034986544,,
335,0.034986544,,
336,0.034986544,,
340,0.034986544,,
341,0.034986544,,
342,0.034986544,,
344,0.034986544,,
351,0.034986544,,
355,0.034986544,,
361,0.034986544,,
364,0.034986544,,
384,0.034986544,,
392,0.034986544,,
396,0.034986544,,
399,0.034986544,,
408,0.034986544,,
411,0.034986544,,
416,0.034986544,,
419,0.034986544,,
421,0.034986544,,
426,0.034986544,,
435,0.034986544,,
441,0.034986544,,
452,0.034986544,,
475,0.034986544,,
492,0.034986544,,
503,0.034986544,,
525,0.034986544,,
553,0.034986544,,
583,0.034986544,,
592,0.034986544,,
597,0.034986544,,
598,0.034986544,,
605,0.034986544,,
625,0.034986544,,
647,0.034986544,,
652,0.034986544,,
654,0.034986544,,
659,0.034986544,,
665,0.034986544,,
683,0.034986544,,
710,0.034986544,,
713,0.034986544,,
715,0.034986544,,
779,0.034986544,,
785,0.034986544,,
802,0.034986544,,
806,0.034986544,,
812,0.034986544,,
841,0.034986544,,
842,0.034986544,,
847,0.034986544,,
851,0.034986544,,
858,0.034986544,,
885,0.034986544,,
890,0.034986544,,
918,0.034986544,,
924,0.034986544,,
928,0.034986544,,
938,0.034986544,,
972,0.034986544,,
975,0.034986544,,
980,0.034986544,,
984,0.034986544,,
988,0.034986544,,
1002,0.034986544,,
1036,0.034986544,,
1042,0.034986544,,
1060,0.034986544,,
1068,0.034986544,,
1093,0.034986544,,
1103,0.034986544,,
1125,0.034986544,,
1127,0.034986544,,
1143,0.034986544,,
1145,0.034986544,,
1149,0.034986544,,
1180,0.034986544,,
1193,0.034986544,,
1198,0.034986544,,
1212,0.034986544,,
1242,0.034986544,,
1259,0.034986544,,
1261,0.034986544,,
1278,0.034986544,,
1308,0.034986544,,
1311,0.034986544,,
1314,0.034986544,,
1316,0.034986544,,
1329,0.034986544,,
1335,0.034986544,,
1336,0.034986544,,
1340,0.034986544,,
1369,0.034986544,,
1374,0.034986544,,
1380,0.034986544,,
1398,0.034986544,,
1406,0.034986544,,
1407,0.034986544,,
1433,0.034986544,,
1435,0.034986544,,
1436,0.034986544,,
