,,,video_id,cosine_distance
380,0.615532488,,,
409,0.615532488,,,
427,0.615532488,,,
465,0.615532488,,,
477,0.615532488,,,
486,0.615532488,,,
498,0.615532488,,,
534,0.615532488,,,
540,0.615532488,,,
560,0.615532488,,,
567,0.615532488,,,
569,0.615532488,,,
576,0.615532488,,,
612,0.615532488,,,
615,0.615532488,,,
660,0.615532488,,,
667,0.615532488,,,
715,0.615532488,,,
737,0.615532488,,,
791,0.615532488,,,
794,0.615532488,,,
867,0.615532488,,,
881,0.615532488,,,
884,0.615532488,,,
913,0.615532488,,,
932,0.615532488,,,
941,0.615532488,,,
946,0.615532488,,,
983,0.615532488,,,
1041,0.615532488,,,
1045,0.615532488,,,
1046,0.615532488,,,
1066,0.615532488,,,
1073,0.615532488,,,
1119,0.615532488,,,
1131,0.615532488,,,
1153,0.615532488,,,
1154,0.615532488,,,
1160,0.615532488,,,
1179,0.615532488,,,
1200,0.615532488,,,
1233,0.615532488,,,
1312,0.615532488,,,
1316,0.615532488,,,
1330,0.615532488,,,
1347,0.615532488,,,
1355,0.615532488,,,
1373,0.615532488,,,
1483,0.615532488,,,
1501,0.615532488,,,
1544,0.615532488,,,
1545,0.615532488,,,
1562,0.615532488,,,
1567,0.615532488,,,
1570,0.615532488,,,
1637,0.615532488,,,
1667,0.615532488,,,
1670,0.615532488,,,
1688,0.615532488,,,
1733,0.615532488,,,
1752,0.615532488,,,
1774,0.615532488,,,
1783,0.615532488,,,
1795,0.615532488,,,
1807,0.615532488,,,
1823,0.615532488,,,
1827,0.615532488,,,
1829,0.615532488,,,
1839,0.615532488,,,
1848,0.615532488,,,
1921,0.615532488,,,
1937,0.615532488,,,
2013,0.615532488,,,
2031,0.615532488,,,
2041,0.615532488,,,
2060,0.615532488,,,
2097,0.615532488,,,
2138,0.615532488,,,
2139,0.615532488,,,
2140,0.615532488,,,
2160,0.615532488,,,
333,0.615458559,,,
565,0.615458559,,,
598,0.615458559,,,
733,0.615458559,,,
953,0.615458559,,,
1302,0.615458559,,,
2035,0.615458559,,,
12,0.61514802,,,
23,0.61514802,,,
27,0.61514802,,,
37,0.61514802,,,
44,0.61514802,,,
91,0.61514802,,,
135,0.61514802,,,
142,0.61514802,,,
150,0.61514802,,,
234,0.61514802,,,
291,0.61514802,,,
332,0.61514802,,,
339,0.61514802,,,
340,0.61514802,,,
345,0.61514802,,,
392,0.61514802,,,
537,0.61514802,,,
587,0.61514802,,,
616,0.61514802,,,
662,0.61514802,,,
725,0.61514802,,,
743,0.61514802,,,
756,0.61514802,,,
786,0.61514802,,,
788,0.61514802,,,
789,0.61514802,,,
830,0.61514802,,,
838,0.61514802,,,
855,0.61514802,,,
856,0.61514802,,,
898,0.61514802,,,
915,0.61514802,,,
919,0.61514802,,,
965,0.61514802,,,
991,0.61514802,,,
994,0.61514802,,,
1022,0.61514802,,,
1048,0.61514802,,,
1065,0.61514802,,,
1162,0.61514802,,,
1189,0.61514802,,,
1194,0.61514802,,,
1272,0.61514802,,,
1279,0.61514802,,,
1324,0.61514802,,,
1333,0.61514802,,,
1359,0.61514802,,,
1370,0.61514802,,,
1372,0.61514802,,,
1384,0.61514802,,,
1412,0.61514802,,,
1445,0.61514802,,,
1475,0.61514802,,,
1588,0.61514802,,,
1592,0.61514802,,,
1605,0.61514802,,,
1634,0.61514802,,,
1651,0.61514802,,,
1690,0.61514802,,,
1731,0.61514802,,,
1738,0.61514802,,,
1743,0.61514802,,,
1789,0.61514802,,,
1824,0.61514802,,,
1840,0.61514802,,,
1863,0.61514802,,,
1864,0.61514802,,,
1922,0.61514802,,,
1959,0.61514802,,,
1962,0.61514802,,,
2006,0.61514802,,,
2036,0.61514802,,,
2056,0.61514802,,,
2112,0.61514802,,,
2124,0.61514802,,,
2144,0.61514802,,,
2148,0.61514802,,,
2155,0.61514802,,,
2159,0.61514802,,,
2,0.038831219,,,
6,0.038831219,,,
11,0.038831219,,,
21,0.038831219,,,
36,0.038831219,,,
71,0.038831219,,,
82,0.038831219,,,
93,0.038831219,,,
108,0.038831219,,,
115,0.038831219,,,
165,0.038831219,,,
174,0.038831219,,,
203,0.038831219,,,
241,0.038831219,,,
244,0.038831219,,,
257,0.038831219,,,
262,0.038831219,,,
268,0.038831219,,,
330,0.038831219,,,
342,0.038831219,,,
399,0.038831219,,,
417,0.038831219,,,
424,0.038831219,,,
452,0.038831219,,,
455,0.038831219,,,
456,0.038831219,,,
463,0.038831219,,,
507,0.038831219,,,
529,0.038831219,,,
551,0.038831219,,,
582,0.038831219,,,
583,0.038831219,,,
589,0.038831219,,,
610,0.038831219,,,
630,0.038831219,,,
654,0.038831219,,,
701,0.038831219,,,
710,0.038831219,,,
714,0.038831219,,,
730,0.038831219,,,
761,0.038831219,,,
768,0.038831219,,,
779,0.038831219,,,
781,0.038831219,,,
800,0.038831219,,,
804,0.038831219,,,
