,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
23,-33.954824013510006,-1003.822033750649,-871.4809998109633,-1049.9199051549008,-1103.0902978201234,-22.09367809237564,564.1094664173113,-1097.568723764583,406.4439302386117,259.992101568284,-1164.6802185745948,-877.718152404063,315.71443909693375,-218.54805824542458,-32.83319838870653,-475.6286935653577,597.9296173593794
24,128.76011680315133,-833.8550726281644,-722.3031335684276,-698.7527719038395,-907.5923358999314,-14.678118789987156,455.9007311225512,-865.2432516467388,291.95883436185494,230.73337882334633,-980.3017963350925,-726.1395412119184,295.2935776030612,-168.0789974717928,-35.158150319832735,-399.6081657713997,482.8164411001555
25,27.771324891426435,-996.614353852364,-854.7304157612483,-829.6643794796694,-1078.0639789160462,-16.348205285911444,545.1764911221896,-1039.685862115202,550.4146637369486,244.2898869673874,-1153.574095902612,-850.7133577391478,348.319217636117,-213.75770352347462,13.814344398441033,-458.19222404779646,588.3248027656106
26,-71.25701322155531,-1586.2843955968692,-1355.6698528204424,-1332.0588010668528,-1668.3144394429414,-52.73563904917645,865.942231510568,-1684.7446118505375,622.4558598342319,397.19648223725284,-1951.5468371415773,-1354.908653464641,552.7393432764623,-339.61095259318137,-35.91785482402579,-729.8975211266729,941.5324638751955
27,10.335995284680791,-783.3433503279268,-667.6560468587941,-651.3485683931538,-844.1953364675002,-12.441637054950505,434.69619300449625,-812.1934048450839,462.50993228946163,185.2075153120802,-907.6871465982019,-669.2429545149093,278.2706449266979,-168.9851798250218,54.07883287854467,-360.82785238861374,463.60894827098826
28,112.46524341678162,-1300.545610914181,-1130.9388691719605,-1092.2456542469681,-1419.2022514998878,-20.674240615807165,719.5489082070583,-1361.7259971594738,536.6002052935281,316.8352328230039,-1524.3054830479039,-1109.366772745521,455.0187971780038,-270.1787678822816,-17.498183654818863,-610.5447726257051,764.3943195134652
29,-83.19499822093697,-1639.3519841452305,-1402.723934518787,-1328.8554968301326,-1708.773890962764,-55.12134102114401,893.2049009516587,-1756.5774329001235,639.4775767384923,407.6704348894446,-1995.379374034111,-1400.539357518668,566.6120323195332,-350.2428659586323,-40.3176428237931,-747.9406698186804,967.7036195150012
30,-14.737229602506128,-743.806262778456,-629.6352728671626,-607.1565083562471,-917.3915960186162,-34.08558077855767,372.7678950825692,-818.1866253642053,277.360442286059,166.0840219866221,-814.766494594284,-653.5850592165251,236.38183098364388,-195.51477362411867,-40.84266484192048,-326.00443732653304,456.1594259426832
31,-1.2109683788210195,-1021.3645727116774,-857.2537461435021,-836.2260339297586,-1083.6959773547499,-12.906719955148386,548.3893146100319,-1025.8754401609349,552.7032898829833,251.43800828396402,-1161.4012901030324,-859.6316265506347,351.0010854360072,-216.87931488185137,11.397768450348265,-460.87444339596334,592.194599004431
32,-32.55594492370517,-876.232129640895,-748.3005645661876,-716.8509165713851,-926.8421835202645,-30.130521404330974,470.4043573493085,-930.5487484403164,343.76613214586666,217.18623477607534,-1023.1418216613864,-760.0291357283759,295.4408017028422,-193.87650266951184,-20.35259670120645,-671.9750198165456,530.9967209437707
33,-77.95637420295606,-1455.4792086252457,-1171.971835330865,-1183.4992971235984,-1474.7259997501853,-6.531083606110121,754.6311258472206,-1345.6343975611398,563.8031121730368,358.2303503042997,-1588.5514715761963,-1182.2105704286932,471.78007413863475,-294.86964643167306,-31.995888436942927,-634.1789343409981,802.9530952507021
34,-73.34197726533775,-1342.71022052397,-1071.5833638228557,-1043.2999315600969,-1343.2381887594167,-6.132249103444338,686.2426050814115,-1179.2632361478672,515.0228053867872,326.2907508469581,-1452.9523232361366,-1080.7205580434404,439.24536730397426,-270.9053999354511,-26.861628529412027,-581.2982612751398,733.3866909180899
35,-73.22721742100637,-1619.9516119325065,-1511.6147630656264,-1484.0085591600564,-1919.6092134693401,-24.7049495586921,975.5866959307422,-1781.692026431641,716.6724940538968,455.00457776024786,-2046.624572783816,-1467.8611127381662,629.4363642968754,-336.28175720690086,-36.176472711793444,-845.3416387038766,998.6233465608094
36,-25.575262614855482,-863.0671532123067,-797.6666615831042,-782.1964522832845,-1015.6826798953359,145.5855719049839,518.8261573753231,-956.72022213275,374.6603239099915,244.18802493902686,-1114.0470625025305,-806.0679964588029,329.35073549934884,-196.4315303032953,-17.587191984536847,-444.4903563345721,558.0158375848072
