,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
68,-1567.412987988821,1033.227149414024,-189.47790279867172,128.741724413301,-135.16637082850485,-232.07681289677353,564.1351185454076,-385.5842228734582,7.857222458713224,165.33282657085923,862.1566531253941,-126.60781330772106,-110.86466082019504,-690.8369182098315,-992.624520293037,-96.17528702362557,-480.28721604563464
69,-1481.0994664088419,965.8797695111846,-209.29222915984678,218.43521508755344,-101.79455397699871,-214.42022027386528,518.8057054152883,-367.2901282881585,-25.99772798225556,156.9012447881541,905.9680248187772,-125.22573689932923,-48.75712214351523,-648.0395380294968,-948.8438153061722,-278.34555804336355,-436.8360549468284
70,-985.4788664095659,486.67720645200035,-104.78021574880525,52.822345893281735,-84.14503123364636,-151.7284135446786,346.89116660850965,-236.92005605761906,5.994297186545701,103.45516647214369,575.3134357580691,-77.46873103737772,-46.17086661045023,-442.3392354779424,-684.9528577829745,-186.08066655119936,-218.81127027024482
71,-1878.1403633969808,1232.8482365455213,-233.56131811689178,144.48010376237673,-167.43416930484477,-278.38115809796443,661.2709008102872,-461.33744598099594,21.475344985935,182.34518750078783,883.745389051479,-159.1710027147426,-52.737553706127876,-822.2730909308481,-1202.1795806485322,-359.34058557632045,-514.8270750107342
72,-2030.6429745074154,1157.7606555208838,-246.98497738654078,162.40310591501043,-194.88401074372436,-304.54969448979455,703.8152865969035,-505.1367634675509,23.912206396519462,208.04467641429508,1200.3145211775015,-161.11833241641867,-48.96516407329528,-898.583389546646,-1251.018926651958,-403.96023017564124,-596.0586064491049
73,-1904.9738210545622,1238.5966687998389,-243.5796254895579,-22.959998103394895,-167.96143754475546,-284.8437596497492,668.2710827163497,-468.10033605244433,29.275614255782983,182.0955282951072,1159.3519258270173,-180.22374057825198,-75.69895033396975,-818.8832544186591,-1240.5852636318307,-351.9571735756332,-567.7504413991446
74,-2010.0028172458665,1144.1226628639681,-244.49861735437784,163.90689869121348,-190.3992577317306,-301.46566254173376,696.7369328535831,-500.0275728775311,25.54101301273128,206.103387373021,1187.2801411130133,-158.72886007407124,-48.50304437494386,-890.0628769398622,-1237.283165522193,-399.95725794329746,-589.4951328489367
75,-688.8119737760021,412.6806242486306,-83.48965954461602,50.725518328314436,-24.270345762037962,-111.95825889704685,225.07368864868792,-156.12090195781545,175.64189524235042,73.21219158311875,371.2401442914663,-51.8390670209485,-24.04971073092033,-297.07889845986796,-442.1090168238797,-124.15852559526543,-169.75066546481074
76,-1806.3534908170952,1167.6522333811379,-234.02859771578733,-36.4502151397732,-155.53463894674047,-273.978096841864,661.3267900826744,-446.00804540525104,-0.920112688053574,161.0769886126744,1091.7991217608587,-173.84788254623945,-72.30081867785155,-775.0903211936882,-1177.9392672887932,-340.5533040871576,-543.4155211285503
77,-1097.105079356452,732.7016833586177,-149.96478955135404,73.10822306961377,-118.21613445821136,-148.39940931007843,400.9668398857967,-268.83230611886336,187.47663306153572,118.98575457065265,665.6527414933502,-108.61379688294917,-23.15115823656966,-481.6033406383819,-687.8629275855204,-199.8402482607961,-334.93639912845293
78,-1347.5655816253268,887.1005237131177,-307.03449924401076,60.005360021931416,-133.29841908417072,-209.0181982550704,474.16550381757384,-359.7958499923007,21.64384521190073,207.91187091899843,790.3555132040208,-70.32597297644459,-50.00610534913652,-600.8556775555331,-896.4289763849999,-262.9474226087223,-367.0237529315335
79,-1512.3796801199683,991.76228713139,-192.60671457653416,87.24100592531188,-138.8690441816118,-221.93658572058035,551.5001337309191,-367.3607387703311,27.29222547879653,341.820750377296,942.1836564227496,-107.36935938566637,-49.61112129233786,-652.0175887652107,-1005.7033851152675,-271.0256040611317,-376.16536358323486
80,-1884.8829720414037,1099.891582072894,-232.78733980865022,162.88792402810284,-182.88223252895523,-285.3763847033021,654.1714570869715,-472.9027169729361,25.06136428932386,193.1219485248644,1114.9126034139788,-148.21523395855337,-45.14299718990379,-829.8413308819471,-1106.1398807427631,-376.5590653486625,-552.7753162132776
81,-1146.328177525608,778.3984970033658,-154.4502638228284,85.97858435385726,-135.63525086476568,-161.06022180382294,426.43649110402515,-286.0815976249361,161.47282782376854,124.44959923932032,703.4060993350338,-104.06550259621656,-25.093655868998283,-483.4733799982661,-735.4073643169972,-221.6542590046052,-363.30224612115256
82,-2068.2824806105555,1213.8389249434215,-254.36878434711934,196.57094922329446,-192.93968936963037,-307.352896287312,716.6738271741954,-515.2542954102081,17.183311557603545,210.86289253051797,1229.1677466319995,-167.26287899196524,-42.66139228709254,-913.3810767864375,-1262.3099500994601,-411.6738232115856,-613.5704474315576
83,-1386.7793390796055,910.360653250065,-344.4152328051639,70.60402533197079,-134.88165435309884,-214.9720555744888,485.0155577417825,-367.3808938285038,18.620700103839734,169.11004016288334,806.0741109134547,-80.64886233439496,-51.40217217953301,-617.7029609858444,-911.476499364043,-272.77988208045673,-393.0038713949758
84,-1967.2885046589051,1293.2193178354821,-232.8348141174569,-18.812903741626442,-169.18387200658395,-298.0029023379466,683.252443939618,-480.0870032140566,-1.1042920637995157,184.06414069423042,1189.5029108375918,-177.27281587947022,-75.48440285348558,-847.1394457703516,-1279.841667298816,-372.8160753420499,-579.0145537032249
85,-1444.5689836974725,946.7804415574388,-318.75933458182556,38.81426334934558,-138.9467375303789,-224.88425685188432,502.8829379626489,-384.13887536392696,15.272289801153745,177.1706800634483,844.2892058374314,-86.19652008980533,-56.61203926944604,-641.3789192139532,-955.8392281581417,-282.6397296875283,-409.27999393801815
86,-1374.6094929167805,924.5640279904749,-294.55724975454154,58.88585510267077,-135.23025118764667,-214.77554544735216,474.1409922309801,-364.9177166251451,16.46643519523863,170.95881698454295,798.7443013794672,-72.42411547331305,-46.92995317091576,-617.647998042929,-904.9995754293384,-278.41922342024907,-384.1317200208903
87,-1634.4730916762705,1073.892055235965,-369.78742373154194,168.89450154805334,-132.76801149647997,-238.58841253622066,580.9457110885933,-386.0683577806999,4.030479130264614,140.22522407677315,981.8397613819506,-153.8509863904485,-54.966761834987885,-703.7252281067795,-1037.1514585708828,-303.6809536230497,-489.0330027249755
