,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
48,212.3031689027146,300.22812840636374,-621.9612491278476,-450.8611947128805,-47.189311889920084,330.40895194088125,-410.7477042544619,769.7902613418257,-57.38029540014899,882.5836781913976,168.97682673682485,-563.8055623273905,-268.2461722190853,-630.2488302687051,-227.75164382057918
49,140.0062208622694,177.69751843776572,-387.19538380720877,-233.82066560009682,-8.40190214212106,181.89885772563446,-223.92700610920292,413.54682533261257,-33.40272315910398,391.36694340804775,263.3181033419352,-319.5279176911715,-149.0508532816671,-334.0371150305332,-106.68656378726868
50,286.63023380759654,457.2680903769087,-707.5799698703604,-533.4271196840723,-48.985060424831026,394.8247170605213,-450.87750369532193,928.7260735400189,2.1507162293712643,824.9753829272504,255.655694034841,-678.0527547372543,-297.2947675500155,-617.7523687714454,-245.2513445927395
52,442.62945606926684,574.105812296528,-1105.8741732858396,-912.3119164313754,-68.42597130933737,612.3661758226774,-758.4463558007362,1394.0871671877762,-93.10154845055499,1277.0786994283594,326.47141201723935,-1095.8027960981633,-491.0021259379282,-1105.8570517639196,-388.35676715408044
53,418.42631444087124,560.6644583589018,-1031.9964595007823,-722.4959934443616,-73.92333972667733,586.8539586160739,-699.9534173944133,1353.527714453545,-89.93098186668415,1218.714107962861,339.0630300508022,-971.3624274952662,-415.2663417995798,-1162.1332200711392,-368.36615000453463
54,109.16454844886215,113.99431516447086,-298.3474123056627,-222.11281709471953,94.37308668904645,148.95644398345493,-221.9136123277771,489.8927909712003,-41.61980860408236,339.6881587295803,77.53448723993633,-278.1733527445325,-157.2521229000486,-304.686763937882,-132.80304099657315
55,410.33448561403856,495.9534777164579,-1169.3754839577246,-673.5488180460401,-41.26266769359241,534.8473930133822,-646.0499675610295,1244.5070819659795,-65.28402109495416,1138.9997109988224,277.11543166862134,-986.043549938975,-417.24404858358474,-978.9482715511554,-340.10074838181015
56,415.1643992380272,549.8005124142318,-1050.247475396398,-858.936470569889,-39.12304256729927,589.5839643842176,-722.5846831266235,1352.2554372778282,-85.2756355178209,1212.7828739317195,313.2410379315193,-1041.8162671763253,-454.18359788863813,-1048.265382233746,-366.6515318542608
58,348.0860429816327,449.06936137733663,-888.1303807387603,-520.4413239899386,-38.23670277515765,476.32610967654807,-583.391100482347,1084.7243057284454,-36.11846213359289,1002.7793032175191,258.9757273650068,-932.4157397061468,-388.1821890314543,-886.1668442921842,-299.237701433959
59,295.91268214173283,352.8587916616259,-762.0883071110666,-450.2958814642034,-56.93259201395198,413.6594476651419,-523.019190590102,944.5345378704731,-72.63827575798652,894.2731506585205,208.8624498323072,-684.8156572828574,-312.54805553985585,-588.5381899038125,-263.0142699845435
60,410.33448561403856,495.9534777164579,-1169.3754839577246,-673.5488180460401,-41.26266769359241,534.8473930133822,-646.0499675610295,1244.5070819659795,-65.28402109495416,1138.9997109988224,277.11543166862134,-986.043549938975,-417.24404858358474,-978.9482715511554,-340.10074838181015
61,370.375024904134,484.42159031198537,-938.3651433128892,-576.0470183523988,-43.2841777023513,510.82042629813037,-618.4495570087745,1163.9156047649346,-34.27798030601057,1067.8846317683847,282.36937723414366,-985.589311628546,-400.89905070001544,-968.7606193336208,-320.48099930079707
62,399.47115273514936,532.6675267484688,-985.7657112762417,-648.5582219171446,-68.1478216202688,557.4085519718845,-664.3574359374277,1284.0428564973813,-79.04979949748895,1161.0909750713558,324.13201642777113,-936.7918106235671,-397.38307365448816,-1117.4299150706856,-351.8687384635506
63,402.4300653268638,536.0795320259244,-996.0514302048937,-655.3481571854809,-68.14095378825537,561.0824755472815,-668.2627497480141,1292.69529345494,-78.65663634996824,1168.531239489504,325.8720178866418,-943.8716879460102,-399.5162248580126,-1124.1045587106746,-354.136328859982
64,345.0292454247169,452.06942294429774,-890.5787606182919,-542.7245774019162,-40.254396361854106,479.7056521786532,-579.5444316872062,1120.2388322702382,-27.088537130767726,1004.7226198947249,261.93393941515694,-938.8659429598092,-378.2533353627961,-890.4765213615451,-295.6191257602421
65,392.8423193467946,475.53529439271176,-1151.084861630503,-655.1761898153306,-40.0017999324834,508.7969278229442,-614.2437419326524,1187.3369953001102,-67.85671593816943,1088.971690999704,265.2913884955734,-913.9098111163107,-396.19555804240576,-922.7581956888683,-324.6380880838684
66,439.37753283844074,581.3751507108334,-1099.3765625590283,-870.204944086665,-65.83854829019218,614.889911755794,-755.3178815716935,1401.7315398693775,-94.42603597286715,1275.4096795010098,328.66679628194987,-1088.7042439860566,-477.960912642036,-1096.6105154193056,-379.60133852731167
67,286.38306056455264,335.42126521484556,-637.8587048508701,-433.6067255947185,-1.920177884028555,337.3103957352753,-419.01897649895506,805.2931233217515,-37.922080529432684,905.2988460599793,204.43928494413998,-647.7923293262506,-284.5662706526387,-597.6739076431419,-220.74547473888433
68,269.88462156313204,365.59626236887584,-879.1000022249448,-493.2236315316933,-32.250331449250275,371.3818066739446,-456.2157502150712,859.5449115906824,-48.377388690256986,806.2327029344913,210.56545488736958,-626.7991029549021,-304.6757082559867,-662.3613177697076,-243.5172238408162
69,324.04162763409903,499.311066199199,-806.8096445211746,-582.6223979478831,-49.407593217405896,448.74772703396843,-511.4564242244903,1044.4222313621403,-26.897374414511983,930.5677012373885,284.989832113743,-805.937095205018,-334.1751535635355,-710.3070309554703,-273.4203937316222
70,444.1380465712878,574.7729415075133,-1109.4532946209408,-913.6306329107606,-68.80077587739464,614.5393923214358,-761.504376034995,1398.8795796904813,-94.14459695221453,1281.6891649050385,327.2542557035199,-1098.4198904065345,-492.26628433974724,-1113.9995094462238,-389.92573404871905
