,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
89,-244.35402830953672,-37.17983034010986,100.4829537089819,87.9177008029686,31.265699694952655,105.41230576126979,-93.11149067781247,-117.60392218861934,-149.54458029160526,189.15312631273076,-133.70608568189797,-131.71817116114957,-200.7499807868752,-288.0195662547514,84.05394323579618,72.84380536725827
90,-56.94641906937394,7.309582859332535,43.896201761559226,204.47527665847755,14.926979074268658,50.95637075695478,-22.12441071698303,-63.698413962140094,-75.28042398848038,97.81587756885456,-62.47959256213961,-40.05888446403246,-93.26945112309463,-139.09416369015642,30.467759140843068,75.12963471576023
91,-236.29534571651152,-37.72208365411946,106.62263003162671,94.93371052530024,36.89451032195498,111.58600151002327,-90.41219411062578,-110.453732853329,-146.91427347352348,235.9161598185978,-135.5378880653552,-131.95236886447893,-212.26057652867752,-277.2780762373832,89.22798404637204,75.72587057819383
92,-156.98157834646483,-11.952531278111126,57.54947682913773,166.24950305428936,-19.646487031427895,23.402391791039985,-26.128686054691162,-41.454040638441334,-31.217888790097426,98.12484753323189,-53.21898061152925,-79.65286217374725,-63.24605437735688,-83.30064483836624,23.014497453218755,-70.6673626020145
93,-245.18757921370405,-36.93070885957301,100.63279493421231,88.12093869937293,35.55320051123668,105.73727733234276,-93.53341495998613,-120.90535648545057,-149.78075444692075,189.33482473910365,-133.61989300994182,-131.6531077045243,-201.3363666850832,-288.07853885746425,83.68109157211505,73.08317799677505
94,-201.22817222727448,-33.29375198902399,112.27580398406037,102.88510552376266,36.817775522800176,111.85328958463386,-86.84901803953962,-110.98327632313772,-149.5464169711184,204.83498815689464,-131.02420730402147,-133.80287948017485,-208.76779091116467,-288.29195371682994,94.27819231781872,70.35789180553529
95,-141.45033509318858,8.322859472279838,120.07507678862235,74.39938015801017,42.9226431083241,56.97531542925154,21.100584653401448,-64.35894251698826,-56.92737883504795,159.52856252455797,3.9076675331045894,15.695281147019156,-120.1267257172573,-199.89884032700505,67.31706016790105,20.593939682868818
96,-103.85073390819367,-10.716503573183667,43.13868396075421,40.52616217228956,56.373148010580934,54.10886188432263,-35.36146279152877,-64.51128584597467,-69.76548777441482,272.23387210440933,-71.5000503235796,-59.99205763824732,-153.57690795432114,-60.507968801963294,32.127020742502886,40.59433060203204
97,-76.42957726111896,152.496084945522,26.5829137416757,47.77873187219775,33.28391954142903,38.97134043413028,-71.88545310013791,-23.885700781702987,-44.618377969994874,76.9087986962953,-42.121327404956375,-52.390960973977165,-70.43491750344943,-141.31450233919412,37.92081147979912,10.911616244869835
98,-226.74787898902582,-34.13195257333847,107.47087002545469,124.85351860869682,36.60475198067579,111.87783458548756,-88.62807737162264,-114.82404131805501,-148.23521088971958,202.2374521601974,-134.23471661054592,-128.80207056524745,-201.34725991911816,-294.41538259691475,88.0699595813012,82.90584928832601
99,-231.0466973202381,-38.776505590925495,104.75555759088232,93.07792331510159,32.2894278201247,107.02824152831649,-84.21566760038148,-80.83483041301979,-142.55228801624935,194.27567686122669,-132.5446016140612,-129.69721283044106,-194.85809914496107,-282.49273046362634,87.64244690659017,69.60082864921488
100,-214.9940646551216,-36.77572580469552,108.70907043635593,91.96674734542212,38.72500066861409,111.30348305363306,-91.5925717977124,-116.08911427410766,-137.77550195412007,203.06184208533332,-132.9087157236685,-130.00156838008283,-189.21897297720446,-292.8362804029213,88.77262229141243,71.50796679263279
101,-216.14697126620842,-36.86364272981703,108.56084896552728,94.96352641308357,37.16635724758641,111.29614314317107,-91.82938537676513,-116.3608064399569,-138.1906859851192,203.49466518630953,-133.20522771284598,-130.31608640965206,-190.9460112548182,-293.8580554158402,86.70996193108313,71.12549056998431
102,-231.0466973202381,-38.776505590925495,104.75555759088232,93.07792331510159,32.2894278201247,107.02824152831649,-84.21566760038148,-80.83483041301979,-142.55228801624935,194.27567686122669,-132.5446016140612,-129.69721283044106,-194.85809914496107,-282.49273046362634,87.64244690659017,69.60082864921488
103,-159.22094490209906,1.5340455718144135,66.57966447873318,209.9997840670438,68.38007724156398,62.71497951065179,-40.95003945881184,-71.9481199072386,-77.29373005595605,120.48487176485206,-70.29607926721714,-73.92204242406063,-100.32894148582704,-154.33836729332188,57.256153856403245,32.1855416246089
104,-148.4431866676421,14.206711490645334,115.0693340376891,63.44128624791103,32.299560774387395,51.361419948312516,-16.84777734539343,-75.49062451342377,-60.988901130284624,143.66737164723915,0.9177687275602763,14.670694143325735,-118.76137732981232,-193.54133761444658,61.71542079656611,23.361300409046386
