,emotion,model,total_difference,rank,mean_score
148,Aesthetic-Appreciation,gpt-5.2-chat-latest,2.4193294974960606,5.0,2.9871853546910754
149,Aesthetic-Appreciation,gpt-5-mini,2.4125842426727013,2.0,4.312128146453089
150,Interest,gpt-5.1-chat-latest,2.3801603556880444,4.0,6.8242562929061785
151,Calmness,gpt-5.2-chat-latest,2.375116548218413,3.0,2.65766590389016
152,Horror,chatgpt-4o-latest,2.3657362637659665,4.0,1.922654462242563
153,Sadness,gpt-5.2-pro,2.36565291630824,5.0,0.3482837528604119
154,Horror,gpt-5.2-pro,2.363471402100438,5.0,1.919908466819222
155,Interest,gpt-5.2-chat-latest,2.343166653678991,5.0,5.4251716247139585
156,Nostalgia,chatgpt-4o-latest,2.342840848893504,2.0,0.3826086956521739
157,Adoration,gpt-5,2.3194704823007877,3.0,1.6471395881006865
158,Adoration,chatgpt-4o-latest,2.3117770636986887,2.0,1.965675057208238
159,Horror,gpt-5.2-chat-latest,2.3026019545317853,1.0,2.5491990846681922
160,Aesthetic-Appreciation,gpt-5.1-chat-latest,2.283127805986891,1.0,4.798627002288329
161,Adoration,gpt-5.2-pro,2.270649329331188,4.0,1.5844393592677346
162,Interest,gpt-5.2-pro,2.269921088177863,3.0,7.201830663615561
163,Sexual-Desire,gpt-5-mini,2.2625357769213377,3.0,1.0787185354691076
164,Horror,gpt-5,2.2563707130169717,3.0,2.0526315789473686
165,Sadness,gpt-5.1-chat-latest,2.2496904692934705,3.0,0.39954233409610984
166,Horror,gpt-5.1-chat-latest,2.204897140722637,2.0,2.1565217391304348
167,Aesthetic-Appreciation,gpt-5,2.1979730733194414,4.0,3.3020594965675056
168,Pride,gpt-5,2.1929654285134816,5.0,0.11853546910755149
169,Excitement,chatgpt-4o-latest,2.187966389625072,7.0,1.837070938215103
170,Sadness,gpt-5,2.175513482432738,7.0,0.29107551487414185
171,Interest,gpt-5,2.171889896175288,2.0,8.507093821510297
172,Sexual-Desire,gpt-5.2-pro,2.1594617149997797,2.0,1.1839816933638443
173,Sexual-Desire,gpt-5.2-chat-latest,2.1345584550899606,1.0,1.5496567505720824
174,Nostalgia,gpt-5.2-chat-latest,2.1054330261664447,3.0,0.34324942791762014
175,Joy,gpt-5-mini,2.082715485998124,5.0,3.511212814645309
176,Joy,chatgpt-4o-latest,2.054932421497922,7.0,2.5565217391304347
177,Awe,gpt-5.1-chat-latest,1.9514210788984117,7.0,2.265903890160183
178,Sexual-Desire,gpt-5,1.9392534178873548,4.0,1.0082379862700228
179,Disgust,gpt-5-mini,1.9289378532022081,6.0,1.6951945080091533
180,Joy,gpt-5,1.9077676678264692,6.0,3.2508009153318076
181,Joy,gpt-5.2-pro,1.90769227153042,3.0,3.7130434782608694
182,Romance,gpt-5-nano,1.9021264445735668,6.0,1.3386727688787186
183,Joy,gpt-5.2-chat-latest,1.891998567565397,2.0,5.076430205949657
184,Fear,gpt-5,1.8835884226998432,7.0,3.9583524027459953
185,Awe,chatgpt-4o-latest,1.8675240302053246,6.0,2.9418764302059497
186,Fear,gpt-5-mini,1.8571372944443982,6.0,4.733180778032037
187,Excitement,gpt-5-mini,1.8373562194196147,5.0,2.9702517162471396
188,Excitement,gpt-5.2-chat-latest,1.8141847131174127,2.0,3.230205949656751
189,Disgust,gpt-5.2-chat-latest,1.8015241065108167,2.0,2.25720823798627
190,Joy,gpt-5.1-chat-latest,1.79628566609705,4.0,3.5162471395881005
191,Awe,gpt-5-mini,1.7662483382342729,4.0,3.3038901601830664
192,Excitement,gpt-5.2-pro,1.7560339184778813,1.0,3.3551487414187644
193,Fear,gpt-5.2-pro,1.749214990427903,5.0,5.0585812356979405
194,Awe,gpt-5.2-chat-latest,1.741630596061904,2.0,4.334553775743707
195,Awe,gpt-5.2-pro,1.705871683094384,3.0,3.4723112128146454
196,Awe,gpt-5,1.6928544517173145,5.0,3.095194508009153
197,Fear,chatgpt-4o-latest,1.6880039319486249,4.0,5.821967963386728
198,Disgust,chatgpt-4o-latest,1.6601208218058523,5.0,1.9931350114416475
199,Disgust,gpt-5,1.6450087505115867,3.0,2.2022883295194506
200,Excitement,gpt-5.1-chat-latest,1.6336823866410617,6.0,2.694736842105263
201,Fear,gpt-5.1-chat-latest,1.6049480369797868,2.0,6.538215102974829
202,Disgust,gpt-5.1-chat-latest,1.6047359991381622,1.0,2.668192219679634
203,Amusement,chatgpt-4o-latest,1.5955015260678262,1.0,12.77254004576659
204,Excitement,gpt-5,1.582898895687399,3.0,3.2297482837528606
205,Disgust,gpt-5.2-pro,1.5756927047317284,4.0,2.1729977116704804
206,Amusement,gpt-5-mini,1.5744187391067002,2.0,10.08604118993135
207,Fear,gpt-5.2-chat-latest,1.5665513427357713,3.0,5.871395881006865
208,Amusement,gpt-5.2-pro,1.5005857209215983,6.0,8.102974828375286
209,Amusement,gpt-5.2-chat-latest,1.466997470877966,5.0,8.506636155606408
210,Amusement,gpt-5.1-chat-latest,1.4613722432466107,4.0,8.9720823798627
211,Amusement,gpt-5,1.4181359966371492,3.0,9.989473684210527
212,Craving,gpt-5.1-chat-latest,1.2582665186196882,6.0,1.0132723112128146
213,Craving,chatgpt-4o-latest,1.1974599967762338,3.0,1.1281464530892449
214,Romance,gpt-5.2-chat-latest,1.1445039473956786,7.0,1.3322654462242562
215,Craving,gpt-5,1.1156920946560946,2.0,1.1418764302059496
216,Craving,gpt-5-mini,1.1097485257180943,1.0,1.1533180778032037
217,Craving,gpt-5.2-pro,1.097881558604561,4.0,1.091533180778032
218,Craving,gpt-5.2-chat-latest,1.0553879626046032,5.0,1.054462242562929
219,Romance,gpt-5-mini,0.9934116042687757,1.0,1.6576659038901602
220,Romance,gpt-5.1-chat-latest,0.9528463955043344,4.0,1.4581235697940504
221,Romance,chatgpt-4o-latest,0.9417012314307776,5.0,1.366132723112128
222,Envy,gpt-5.2-chat-latest,0.9004962809790011,3.0,0.004576659038901602
223,Envy,gpt-5-mini,0.9004962809790011,3.0,0.004576659038901602
224,Envy,gpt-5.2-pro,0.9004962809790011,3.0,0.004576659038901602
225,Romance,gpt-5,0.881430554252126,2.0,1.5533180778032036
226,Romance,gpt-5.2-pro,0.8082339599365451,3.0,1.525400457665904
227,Guilt,gpt-5.1-chat-latest,0.0,4.0,0.0
228,Guilt,chatgpt-4o-latest,0.0,4.0,0.0
229,Envy,gpt-5.1-chat-latest,0.0,6.0,0.0
230,Envy,gpt-5,0.0,6.0,0.0
231,Guilt,gpt-5,0.0,4.0,0.0
232,Contempt,gpt-5.2-pro,0.0,7.0,0.0
233,Envy,gpt-5-nano,0.0,6.0,0.0
234,Guilt,gpt-5-nano,0.0,4.0,0.0
235,Guilt,gpt-5-mini,0.0,4.0,0.0
236,Guilt,gpt-5.2-chat-latest,0.0,4.0,0.0
237,Guilt,gpt-5.2-pro,0.0,4.0,0.0
