,chatgpt-4o-latest / gpt-5,chatgpt-4o-latest / gpt-5.2-pro,chatgpt-4o-latest / gpt-5.1-chat-latest,chatgpt-4o-latest / gpt-5.2-chat-latest,chatgpt-4o-latest / gpt-5-mini,chatgpt-4o-latest / gpt-5-nano,gpt-5 / gpt-5.2-pro,gpt-5 / gpt-5.1-chat-latest,gpt-5 / gpt-5.2-chat-latest,gpt-5 / gpt-5-mini,gpt-5 / gpt-5-nano,gpt-5.2-pro / gpt-5.1-chat-latest,gpt-5.2-pro / gpt-5.2-chat-latest,gpt-5.2-pro / gpt-5-mini,gpt-5.2-pro / gpt-5-nano,gpt-5.1-chat-latest / gpt-5.2-chat-latest,gpt-5.1-chat-latest / gpt-5-mini,gpt-5.1-chat-latest / gpt-5-nano,gpt-5.2-chat-latest / gpt-5-mini,gpt-5.2-chat-latest / gpt-5-nano,gpt-5-mini / gpt-5-nano,min,max,1ÇÃå¬êî
1411,0,0,0,0.000384468,0.031141869,0.031141869,0,0,0.000384468,0.031141869,0.031141869,0,0.000384468,0.031141869,0.031141869,0.000384468,0.031141869,0.031141869,0.034986544,0.034986544,0,0,0.034986544,0
1412,0,0.034986544,0.784698193,0.031141869,0.807766244,0.807381776,0.034986544,0.784698193,0.031141869,0.807766244,0.807381776,0.615532488,0.000384468,0.807766244,0.803921569,0.61514802,0.961553249,0.942329873,0.807766244,0.803921569,0.000384468,0,0.961553249,0
1413,0.61514802,0.980776624,0.784698193,0.034986544,0.034986544,0.807381776,0.980776624,0.031141869,0.803921569,0.803921569,0.961168781,0.807766244,0.807766244,0.807766244,0.980776624,0.942329873,0.942329873,0.99231065,0.000384468,0.803921569,0.803921569,0.000384468,0.99231065,0
1414,0.784698193,0.615532488,0.61514802,0.807381776,0.788542868,0.996155325,0.034986544,0.031141869,0.034986544,0.038446751,0.961553249,0.000384468,0.038831219,0.034986544,1,0.038446751,0.034986544,0.996155325,0.038831219,0.99231065,1,0.000384468,1,1
1415,0,0,0,0.031141869,0.784698193,0.038446751,0,0,0.031141869,0.784698193,0.038446751,0,0.031141869,0.784698193,0.038446751,0.031141869,0.784698193,0.038446751,0.61514802,0.034986544,0.788542868,0,0.784698193,0
1416,0.038831219,0.980776624,0.038831219,0.038831219,0.034986544,0.038831219,0.942329873,0,0.034986544,0.034986544,0.000384468,0.942329873,0.784698193,0.976931949,0.942329873,0.034986544,0.034986544,0.000384468,0.038446751,0.034986544,0.034986544,0,0.980776624,0
1417,0.000384468,0.807381776,0.980776624,0.807766244,0.807766244,0.999615532,0.803921569,0.999615532,0.807381776,0.807381776,0.980776624,0.976931949,0.034986544,0.034986544,0.807381776,0.999615532,0.999615532,0.961553249,0,0.942329873,0.942329873,0,0.999615532,0
1418,0.034986544,0.996155325,0.034986544,0.784698193,0.961553249,0.961553249,0.961168781,1.11E-16,0.942329873,0.999615532,0.999615532,0.961168781,0.961553249,0.999615532,0.999615532,0.942329873,0.999615532,0.999615532,0.807766244,0.807766244,0,1.11E-16,0.999615532,0
1419,0.038446751,0.038446751,0.038831219,0,0.038831219,0.980776624,1.11E-16,0.000384468,0.038446751,0.000384468,0.980776624,0.000384468,0.038446751,0.000384468,0.980776624,0.038831219,0,1,0.038831219,0.980776624,1,0,1,1
1420,0.807381776,0.038831219,0.038831219,0.038831219,0.000384468,0.038831219,0.807766244,0.615532488,0.807766244,0.807766244,0.807766244,0.038831219,0,0.038446751,0.038831219,0.038831219,0.038831219,0.038831219,0.038446751,0.038831219,0.038831219,0,0.807766244,0
1421,0.038831219,0.038831219,0.807766244,0.038831219,0.038831219,0.038831219,0,0.788542868,0.031141869,0.031141869,0.038831219,0.788542868,0.031141869,0.031141869,0.038831219,0.615532488,0.615532488,0.803921569,0,0.038831219,0.038831219,0,0.807766244,0
1422,0.034986544,0.034986544,0.034986544,0.034986544,0.038446751,0.034986544,0,0.034986544,0,0.031141869,0.000384468,0.034986544,0,0.031141869,0.000384468,0.034986544,0.000384468,0.038831219,0.031141869,0.000384468,0.034986544,0,0.038831219,0
